#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DLX1	LHX9	9606.ENSP00000354478	9606.ENSP00000356357	0	0	0	0	0.086	0.045	0	0.430	0.459
DLX1	PBX3	9606.ENSP00000354478	9606.ENSP00000362588	0	0	0	0	0.067	0.168	0	0.410	0.502
EPS8	SPTBN1	9606.ENSP00000494689	9606.ENSP00000349259	0	0	0	0	0.076	0	0.500	0	0.518
ERV3-1	LTF	9606.ENSP00000391594	9606.ENSP00000231751	0	0	0	0	0	0.046	0	0.717	0.719
ERV3-1	LMLN	9606.ENSP00000391594	9606.ENSP00000410926	0	0	0	0	0.059	0	0	0.598	0.605
FAM184A	SHISAL1	9606.ENSP00000342604	9606.ENSP00000370568	0	0	0	0	0	0	0	0.543	0.543
FANCD2	POLR2D	9606.ENSP00000287647	9606.ENSP00000272645	0	0	0	0	0.072	0	0.500	0.060	0.525
FANCD2	SKA3	9606.ENSP00000287647	9606.ENSP00000319417	0	0	0	0	0.351	0	0	0.154	0.428
FANCD2	RFC4	9606.ENSP00000287647	9606.ENSP00000376272	0	0	0	0	0.264	0.071	0	0.494	0.623
FCGR2A	ITGA2B	9606.ENSP00000271450	9606.ENSP00000262407	0	0	0	0	0.098	0	0	0.688	0.706
GEMIN4	NUP188	9606.ENSP00000321706	9606.ENSP00000361658	0	0	0	0	0.125	0	0.400	0	0.452
GEMIN4	POLR1B	9606.ENSP00000321706	9606.ENSP00000444136	0	0	0	0	0.459	0	0	0.086	0.484
GJC1	SALL4	9606.ENSP00000467201	9606.ENSP00000217086	0	0	0	0	0.080	0	0	0.437	0.459
GJC1	ZIC3	9606.ENSP00000467201	9606.ENSP00000287538	0	0	0	0	0.049	0	0	0.436	0.440
GLIS1	SALL4	9606.ENSP00000309653	9606.ENSP00000217086	0	0	0	0.558	0.056	0.067	0	0.486	0.508
GNB3	PTGER3	9606.ENSP00000229264	9606.ENSP00000349003	0	0	0	0	0	0.129	0.650	0.366	0.790
GPR37L1	NPB	9606.ENSP00000356251	9606.ENSP00000332766	0	0	0	0	0.048	0	0.500	0.081	0.524
GUCY1A1	PDE11A	9606.ENSP00000296518	9606.ENSP00000286063	0	0	0	0	0.067	0.126	0.683	0.216	0.771
H3C1	IPO5	9606.ENSP00000480826	9606.ENSP00000261574	0	0	0	0	0	0.402	0	0.074	0.423
H3C1	MKI67	9606.ENSP00000480826	9606.ENSP00000357643	0	0	0	0	0.103	0.330	0	0.088	0.404
HBA2	ORM2	9606.ENSP00000251595	9606.ENSP00000394936	0	0	0	0	0.072	0	0	0.390	0.409
HBA2	MKI67	9606.ENSP00000251595	9606.ENSP00000357643	0	0	0	0	0.055	0.292	0	0.188	0.409
HK2	PYGM	9606.ENSP00000290573	9606.ENSP00000164139	0	0	0	0	0.142	0.045	0	0.404	0.469
HK2	MTOR	9606.ENSP00000290573	9606.ENSP00000354558	0	0	0	0	0.049	0	0	0.569	0.572
HOXD13	ZIC3	9606.ENSP00000376322	9606.ENSP00000287538	0	0	0	0	0.061	0.046	0	0.393	0.408
HOXD13	SIX2	9606.ENSP00000376322	9606.ENSP00000304502	0	0	0	0	0.072	0	0	0.480	0.497
HOXD13	PBX3	9606.ENSP00000376322	9606.ENSP00000362588	0	0	0	0	0	0.291	0	0.317	0.495
IMP4	POLR1B	9606.ENSP00000259239	9606.ENSP00000444136	0	0	0	0	0.698	0	0	0.291	0.777
IMPAD1	XKR4	9606.ENSP00000262644	9606.ENSP00000328326	0	0	0	0	0.042	0	0	0.545	0.546
INMT	MKI67	9606.ENSP00000013222	9606.ENSP00000357643	0	0	0	0	0	0.045	0	0.407	0.409
INPP5D	STING1	9606.ENSP00000405338	9606.ENSP00000498596	0	0	0	0	0.078	0	0	0.436	0.457
IPO5	POLR1B	9606.ENSP00000261574	9606.ENSP00000444136	0	0	0	0	0.395	0	0	0.070	0.413
ITGA2B	TNN	9606.ENSP00000262407	9606.ENSP00000239462	0	0	0	0	0	0.098	0.650	0.086	0.686
ITGA2B	MYB	9606.ENSP00000262407	9606.ENSP00000339992	0	0	0	0	0.045	0	0	0.441	0.443
ITIH2	ORM2	9606.ENSP00000351190	9606.ENSP00000394936	0	0	0	0	0.381	0	0	0.248	0.514
KIRREL1	SPTBN1	9606.ENSP00000352138	9606.ENSP00000349259	0	0	0	0	0.067	0.072	0.500	0	0.529
KIRREL1	PODXL	9606.ENSP00000352138	9606.ENSP00000367817	0	0	0	0	0.104	0.107	0	0.397	0.475
KIRREL1	SYNPO	9606.ENSP00000352138	9606.ENSP00000377789	0	0	0	0	0.063	0	0	0.523	0.533
KRTAP5-2	KRTAP5-6	9606.ENSP00000400041	9606.ENSP00000371595	0	0	0	0	0	0	0.400	0	0.400
KRTAP5-2	KRTAP5-8	9606.ENSP00000400041	9606.ENSP00000420723	0	0	0	0	0.149	0	0.400	0	0.467
KRTAP5-6	KRTAP5-8	9606.ENSP00000371595	9606.ENSP00000420723	0	0	0	0	0	0	0.400	0	0.400
LHX9	MUC5AC	9606.ENSP00000356357	9606.ENSP00000485659	0	0	0	0	0	0.068	0	0.414	0.430
LHX9	SYNPO	9606.ENSP00000356357	9606.ENSP00000377789	0	0	0	0	0	0	0	0.468	0.468
LHX9	PODXL	9606.ENSP00000356357	9606.ENSP00000367817	0	0	0	0	0	0.068	0	0.505	0.519
LMAN1	PODXL	9606.ENSP00000251047	9606.ENSP00000367817	0	0	0	0	0.044	0.052	0	0.408	0.417
LMAN1	STT3B	9606.ENSP00000251047	9606.ENSP00000295770	0	0	0	0	0.199	0.213	0	0.291	0.515
LMAN1	SEC24B	9606.ENSP00000251047	9606.ENSP00000428564	0	0	0	0	0.108	0	0.500	0.666	0.838
LRRC46	RSPH4A	9606.ENSP00000269025	9606.ENSP00000229554	0	0	0	0	0.282	0.047	0	0.258	0.448
LTF	ORM2	9606.ENSP00000231751	9606.ENSP00000394936	0	0	0	0	0.139	0	0	0.402	0.463
LTF	MUC5AC	9606.ENSP00000231751	9606.ENSP00000485659	0	0	0	0	0.053	0.057	0	0.452	0.468
MAST4	ZNF573	9606.ENSP00000385727	9606.ENSP00000440464	0	0	0	0	0	0.043	0	0.475	0.476
MIS18BP1	SKA3	9606.ENSP00000309790	9606.ENSP00000319417	0	0	0	0	0.616	0	0	0.099	0.639
MKI67	TRIP13	9606.ENSP00000357643	9606.ENSP00000166345	0	0	0	0	0.450	0	0	0.226	0.556
MKI67	PIMREG	9606.ENSP00000357643	9606.ENSP00000250056	0	0	0	0	0.415	0	0	0.244	0.539
MKI67	RRM1	9606.ENSP00000357643	9606.ENSP00000300738	0	0	0	0	0.239	0	0	0.449	0.563
MKI67	SKA3	9606.ENSP00000357643	9606.ENSP00000319417	0	0	0	0	0.513	0	0	0.187	0.587
MKI67	NF1	9606.ENSP00000357643	9606.ENSP00000351015	0	0	0	0	0.117	0.292	0	0.227	0.475
MTHFD1L	POLR1B	9606.ENSP00000478253	9606.ENSP00000444136	0	0	0	0	0.228	0	0	0.286	0.426
MTOR	NF1	9606.ENSP00000354558	9606.ENSP00000351015	0	0	0	0	0.125	0	0	0.579	0.616
MYB	POLR2D	9606.ENSP00000339992	9606.ENSP00000272645	0	0	0	0	0.048	0	0.500	0	0.503
NPB	TAL2	9606.ENSP00000332766	9606.ENSP00000334547	0	0	0	0	0.056	0	0	0.405	0.414
PDP2	WDR82	9606.ENSP00000309548	9606.ENSP00000296490	0	0	0	0	0.088	0	0	0.377	0.408
PDP2	PPTC7	9606.ENSP00000309548	9606.ENSP00000346255	0	0	0	0	0.049	0.127	0	0.431	0.486
PGM2L1	PYGM	9606.ENSP00000298198	9606.ENSP00000164139	0.091	0	0	0	0.111	0	0.937	0.252	0.957
PIMREG	TRIP13	9606.ENSP00000250056	9606.ENSP00000166345	0	0	0	0	0.357	0	0	0.204	0.467
PIMREG	SKA3	9606.ENSP00000250056	9606.ENSP00000319417	0	0	0	0	0.360	0	0	0.257	0.504
PLEKHG4	TMPO	9606.ENSP00000353646	9606.ENSP00000266732	0	0	0	0	0.045	0.088	0.400	0	0.431
PODXL	SIX2	9606.ENSP00000367817	9606.ENSP00000304502	0	0	0	0	0	0	0	0.519	0.519
PODXL	SYNPO	9606.ENSP00000367817	9606.ENSP00000377789	0	0	0	0	0.045	0.099	0	0.921	0.926
POLR1B	POLR2D	9606.ENSP00000444136	9606.ENSP00000272645	0	0	0	0	0.067	0.816	0	0.557	0.917
POLR1B	RRM1	9606.ENSP00000444136	9606.ENSP00000300738	0	0	0	0	0.147	0	0	0.375	0.444
POLR1B	PRAMEF6	9606.ENSP00000444136	9606.ENSP00000365360	0.056	0	0	0	0.362	0.276	0	0.120	0.564
RASSF3	RASSF9	9606.ENSP00000443021	9606.ENSP00000354884	0	0	0	0	0.055	0	0	0.468	0.476
RFC4	TRIP13	9606.ENSP00000376272	9606.ENSP00000166345	0	0	0	0	0.468	0.048	0	0.256	0.590
RFC4	RNASEH2A	9606.ENSP00000376272	9606.ENSP00000221486	0	0	0	0	0.560	0	0	0.408	0.728
RFC4	RRM1	9606.ENSP00000376272	9606.ENSP00000300738	0	0	0	0	0.519	0.069	0	0.373	0.695
RNASEH2A	TRIP13	9606.ENSP00000221486	9606.ENSP00000166345	0.043	0	0	0	0.482	0	0	0.052	0.489
RNASEH2A	STING1	9606.ENSP00000221486	9606.ENSP00000498596	0	0	0	0	0.044	0	0	0.479	0.480
RNASEH2A	RRM1	9606.ENSP00000221486	9606.ENSP00000300738	0.183	0	0	0	0.378	0.079	0	0.206	0.579
RRM1	TRIP13	9606.ENSP00000300738	9606.ENSP00000166345	0	0	0	0	0.424	0	0.178	0.127	0.551
RRM1	SASS6	9606.ENSP00000300738	9606.ENSP00000287482	0	0	0	0	0.377	0	0	0.102	0.416
SASS6	WDR62	9606.ENSP00000287482	9606.ENSP00000384792	0	0	0	0	0.099	0	0	0.602	0.626
SIX2	SYNPO	9606.ENSP00000304502	9606.ENSP00000377789	0	0	0	0	0.086	0	0	0.373	0.402
SKA3	TRIP13	9606.ENSP00000319417	9606.ENSP00000166345	0	0	0	0	0.469	0	0	0.091	0.497
TEKT2	VWA3A	9606.ENSP00000207457	9606.ENSP00000374049	0	0	0.218	0	0.122	0	0	0.346	0.511
TRIP13	TUBB8	9606.ENSP00000166345	9606.ENSP00000456206	0	0	0	0	0.105	0	0	0.395	0.436
