#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BGN	IGF2	9606.ENSP00000327336	9606.ENSP00000391826	0	0	0	0	0.287	0	0	0.242	0.436
BGN	RUNX2	9606.ENSP00000327336	9606.ENSP00000360493	0	0	0	0	0.049	0	0	0.477	0.481
BTK	PGLYRP1	9606.ENSP00000483570	9606.ENSP00000008938	0	0	0	0	0.072	0.045	0	0.457	0.476
BTK	LCP2	9606.ENSP00000483570	9606.ENSP00000046794	0	0	0	0	0.430	0.095	0.900	0.983	0.999
BTK	GNB3	9606.ENSP00000483570	9606.ENSP00000229264	0	0	0	0	0.074	0.097	0.500	0.066	0.557
BTK	CCR2	9606.ENSP00000483570	9606.ENSP00000292301	0	0	0	0	0.227	0	0	0.435	0.544
BTK	KLHL6	9606.ENSP00000483570	9606.ENSP00000341342	0	0	0	0	0.223	0	0	0.287	0.422
BTK	XCL1	9606.ENSP00000483570	9606.ENSP00000356792	0	0	0	0	0.106	0.084	0.500	0.080	0.573
BTK	IRAK1	9606.ENSP00000483570	9606.ENSP00000358997	0	0	0	0.554	0.079	0.299	0	0.880	0.915
C6	FGA	9606.ENSP00000263413	9606.ENSP00000498441	0	0	0	0	0.270	0	0	0.282	0.454
C6	CFI	9606.ENSP00000263413	9606.ENSP00000378131	0	0	0	0	0.233	0	0	0.480	0.584
CA7	CALB2	9606.ENSP00000345659	9606.ENSP00000307508	0	0	0	0	0.097	0	0	0.721	0.737
CA7	RRS1	9606.ENSP00000345659	9606.ENSP00000322396	0	0	0	0	0.304	0.268	0	0.050	0.473
CACNA2D4	PDE6B	9606.ENSP00000372169	9606.ENSP00000420295	0	0	0	0	0.044	0	0	0.472	0.473
CALB2	KRT20	9606.ENSP00000307508	9606.ENSP00000167588	0	0	0	0	0.042	0.104	0	0.720	0.739
CALB2	ISL1	9606.ENSP00000307508	9606.ENSP00000230658	0	0	0	0	0.043	0.100	0	0.463	0.497
CALB2	GAD1	9606.ENSP00000307508	9606.ENSP00000350928	0	0	0	0	0.139	0.091	0	0.802	0.832
CALR3	MYH6	9606.ENSP00000269881	9606.ENSP00000386041	0	0	0	0	0	0	0	0.419	0.419
CAMK2D	GRIA4	9606.ENSP00000425824	9606.ENSP00000282499	0	0	0	0	0	0.063	0.400	0.155	0.483
CARD16	PLAU	9606.ENSP00000364858	9606.ENSP00000361850	0	0	0	0	0.087	0	0.540	0.062	0.572
CCDC160	TEKT2	9606.ENSP00000427951	9606.ENSP00000207457	0	0	0	0	0.049	0	0	0.411	0.416
CCL2	TIMP1	9606.ENSP00000225831	9606.ENSP00000218388	0	0	0	0	0.357	0	0	0.802	0.867
CCL2	ERV3-1	9606.ENSP00000225831	9606.ENSP00000391594	0	0	0	0	0	0	0	0.400	0.400
CCL2	LGALS9	9606.ENSP00000225831	9606.ENSP00000378856	0	0	0	0	0.076	0	0	0.397	0.419
CCL2	RUNX2	9606.ENSP00000225831	9606.ENSP00000360493	0	0	0	0	0.102	0	0	0.393	0.432
CCL2	FLT3LG	9606.ENSP00000225831	9606.ENSP00000469613	0	0	0	0	0.047	0	0	0.479	0.482
CCL2	TNFRSF12A	9606.ENSP00000225831	9606.ENSP00000326737	0	0	0	0	0.171	0	0	0.418	0.497
CCL2	SIRPA	9606.ENSP00000225831	9606.ENSP00000478763	0	0	0	0	0.098	0.099	0	0.444	0.508
CCL2	TNFSF12	9606.ENSP00000225831	9606.ENSP00000293825	0	0	0	0	0.117	0	0	0.480	0.521
CCL2	GPX8	9606.ENSP00000225831	9606.ENSP00000423822	0	0	0	0	0.047	0	0	0.519	0.522
CCL2	IRAK1	9606.ENSP00000225831	9606.ENSP00000358997	0	0	0	0	0.087	0	0	0.510	0.533
CCL2	GPX3	9606.ENSP00000225831	9606.ENSP00000373477	0	0	0	0	0.060	0	0	0.531	0.541
CCL2	XCL1	9606.ENSP00000225831	9606.ENSP00000356792	0	0	0	0	0.057	0	0	0.544	0.552
CCL2	S1PR3	9606.ENSP00000225831	9606.ENSP00000365006	0	0	0	0	0.075	0	0	0.564	0.580
CCL2	PLAU	9606.ENSP00000225831	9606.ENSP00000361850	0	0	0	0	0.205	0	0	0.511	0.594
CCL2	CHI3L1	9606.ENSP00000225831	9606.ENSP00000255409	0	0	0	0	0.116	0	0	0.578	0.611
CCL2	HBEGF	9606.ENSP00000225831	9606.ENSP00000230990	0	0	0.210	0	0.160	0	0	0.474	0.620
CCL2	PDGFRA	9606.ENSP00000225831	9606.ENSP00000257290	0	0	0	0	0.087	0	0	0.627	0.645
CCL2	FABP4	9606.ENSP00000225831	9606.ENSP00000256104	0	0	0	0	0.094	0	0	0.678	0.695
CCL2	TEK	9606.ENSP00000225831	9606.ENSP00000369375	0	0	0	0	0.068	0	0	0.705	0.713
CCL2	MMP12	9606.ENSP00000225831	9606.ENSP00000458585	0	0	0	0	0.115	0	0	0.730	0.750
CCL2	CSF1R	9606.ENSP00000225831	9606.ENSP00000286301	0	0	0	0	0.111	0	0	0.848	0.860
CCL2	CCR2	9606.ENSP00000225831	9606.ENSP00000292301	0	0	0	0	0.084	0.949	0.900	0.999	0.999
CCR2	TIMP1	9606.ENSP00000292301	9606.ENSP00000218388	0	0	0	0	0.042	0	0	0.404	0.405
CCR2	HBEGF	9606.ENSP00000292301	9606.ENSP00000230990	0	0	0	0	0	0	0	0.444	0.444
CCR2	KLRG1	9606.ENSP00000292301	9606.ENSP00000266551	0	0	0	0	0.123	0	0	0.398	0.449
CCR2	CSF1R	9606.ENSP00000292301	9606.ENSP00000286301	0	0	0	0	0.198	0	0	0.735	0.778
CCR2	CSF2RA	9606.ENSP00000292301	9606.ENSP00000394227	0	0	0	0	0.185	0	0	0.310	0.413
CCR2	FLT3LG	9606.ENSP00000292301	9606.ENSP00000469613	0	0	0	0	0.065	0	0	0.400	0.415
CCR2	MMP12	9606.ENSP00000292301	9606.ENSP00000458585	0	0	0	0	0.044	0	0	0.434	0.435
CCR2	PTGER3	9606.ENSP00000292301	9606.ENSP00000349003	0	0	0	0	0	0	0	0.475	0.475
CCR2	SIRPA	9606.ENSP00000292301	9606.ENSP00000478763	0	0	0	0	0.072	0.091	0	0.512	0.552
CCR2	LGALS9	9606.ENSP00000292301	9606.ENSP00000378856	0	0	0	0	0.153	0	0	0.503	0.561
CCR2	TEK	9606.ENSP00000292301	9606.ENSP00000369375	0	0	0	0	0	0	0	0.580	0.580
CCR2	XCL1	9606.ENSP00000292301	9606.ENSP00000356792	0	0	0	0	0.136	0	0.650	0.682	0.895
CD160	KLRG1	9606.ENSP00000358294	9606.ENSP00000266551	0	0	0	0	0.348	0	0	0.771	0.845
CD160	XCL1	9606.ENSP00000358294	9606.ENSP00000356792	0	0	0	0	0.301	0	0	0.370	0.541
CD160	LGALS9	9606.ENSP00000358294	9606.ENSP00000378856	0	0	0	0	0	0	0	0.580	0.580
CD177	PGLYRP1	9606.ENSP00000479536	9606.ENSP00000008938	0	0	0	0	0.223	0	0	0.306	0.438
CD177	MCEMP1	9606.ENSP00000479536	9606.ENSP00000329920	0	0	0	0	0.099	0	0	0.396	0.432
CDKN2C	PDGFRA	9606.ENSP00000262662	9606.ENSP00000257290	0	0	0	0	0	0.193	0	0.302	0.412
CENPF	MYL9	9606.ENSP00000355922	9606.ENSP00000279022	0	0	0	0	0	0	0	0.408	0.408
CENPF	FANCD2	9606.ENSP00000355922	9606.ENSP00000287647	0	0	0	0	0.402	0	0	0.157	0.474
CENPF	MKI67	9606.ENSP00000355922	9606.ENSP00000357643	0	0	0	0	0.902	0.292	0	0.727	0.979
CFAP47	SPATA17	9606.ENSP00000367922	9606.ENSP00000355900	0	0	0	0	0.181	0.183	0	0.311	0.498
CFI	CHI3L1	9606.ENSP00000378131	9606.ENSP00000255409	0	0	0	0	0.127	0	0	0.362	0.419
CFI	PLAU	9606.ENSP00000378131	9606.ENSP00000361850	0	0	0.207	0.642	0.054	0	0.540	0.069	0.635
CFI	FGA	9606.ENSP00000378131	9606.ENSP00000498441	0	0	0	0	0.454	0	0	0.291	0.596
CFI	COLEC11	9606.ENSP00000378131	9606.ENSP00000411770	0	0	0	0	0.086	0.046	0.540	0.180	0.627
CHGB	PTPRN	9606.ENSP00000368244	9606.ENSP00000295718	0	0	0	0	0.226	0	0	0.303	0.437
CHI3L1	TIMP1	9606.ENSP00000255409	9606.ENSP00000218388	0	0	0	0	0.099	0	0	0.480	0.511
CHI3L1	IGFBP5	9606.ENSP00000255409	9606.ENSP00000233813	0	0	0	0	0.042	0	0	0.457	0.457
CHI3L1	PIGR	9606.ENSP00000255409	9606.ENSP00000348888	0	0	0	0	0.128	0	0	0.456	0.506
CHI3L1	MMP12	9606.ENSP00000255409	9606.ENSP00000458585	0	0	0	0	0.147	0	0	0.550	0.599
CHRNB1	CHRNB3	9606.ENSP00000304290	9606.ENSP00000289957	0	0	0.093	0.880	0.065	0.132	0.720	0.116	0.784
CHRNB1	FGA	9606.ENSP00000304290	9606.ENSP00000498441	0	0	0	0	0	0	0	0.428	0.428
CHRNB3	SYNGR1	9606.ENSP00000289957	9606.ENSP00000332287	0	0	0	0	0.083	0	0	0.437	0.462
COBL	IGF2	9606.ENSP00000378912	9606.ENSP00000391826	0	0	0	0	0	0.134	0	0.362	0.424
COL20A1	COL4A3	9606.ENSP00000351767	9606.ENSP00000379823	0	0	0	0.551	0	0	0.400	0.144	0.465
COL4A3	INMT	9606.ENSP00000379823	9606.ENSP00000013222	0	0	0	0	0.064	0.113	0	0.369	0.430
COL4A3	ITGB4	9606.ENSP00000379823	9606.ENSP00000200181	0	0	0	0	0.046	0.051	0.650	0.525	0.829
COL4A3	ITGA2B	9606.ENSP00000379823	9606.ENSP00000262407	0	0	0	0	0	0	0.650	0.118	0.678
COL4A3	ZNF469	9606.ENSP00000379823	9606.ENSP00000456500	0	0	0	0	0	0.053	0	0.424	0.431
COLEC11	PLAU	9606.ENSP00000411770	9606.ENSP00000361850	0	0	0	0	0	0.046	0.540	0.049	0.546
COPG1	SRPRA	9606.ENSP00000325002	9606.ENSP00000328023	0	0	0	0	0.303	0	0	0.257	0.460
COPG1	GBF1	9606.ENSP00000325002	9606.ENSP00000359000	0	0	0	0	0.266	0.611	0.500	0.364	0.897
CSF1R	LCP2	9606.ENSP00000286301	9606.ENSP00000046794	0	0	0	0	0.315	0	0	0.516	0.654
CSF1R	HBEGF	9606.ENSP00000286301	9606.ENSP00000230990	0	0	0	0	0.059	0	0	0.446	0.456
CSF1R	ITGA2B	9606.ENSP00000286301	9606.ENSP00000262407	0	0	0	0	0.085	0	0	0.593	0.612
CSF1R	MYB	9606.ENSP00000286301	9606.ENSP00000339992	0	0	0	0	0.054	0	0	0.402	0.410
CSF1R	LGALS9	9606.ENSP00000286301	9606.ENSP00000378856	0	0	0	0	0.244	0.067	0	0.311	0.471
CSF1R	OLFML3	9606.ENSP00000286301	9606.ENSP00000322273	0	0	0	0	0.059	0	0	0.480	0.489
CSF1R	IGF2	9606.ENSP00000286301	9606.ENSP00000391826	0	0	0	0	0	0	0.650	0.245	0.724
CSF1R	SIRPA	9606.ENSP00000286301	9606.ENSP00000478763	0	0	0	0	0.213	0.045	0	0.704	0.758
CSF1R	CSF2RA	9606.ENSP00000286301	9606.ENSP00000394227	0	0	0	0	0.256	0.049	0	0.695	0.765
CSF1R	FLT3LG	9606.ENSP00000286301	9606.ENSP00000469613	0	0	0	0	0.094	0	0.650	0.740	0.910
CSF2RA	SFTPA1	9606.ENSP00000394227	9606.ENSP00000397082	0	0	0	0	0.042	0	0.500	0.246	0.607
CT45A1	MAGEC1	9606.ENSP00000470185	9606.ENSP00000285879	0	0	0	0	0.086	0	0	0.648	0.665
CT45A1	NXF2	9606.ENSP00000470185	9606.ENSP00000485586	0	0	0	0	0.067	0	0	0.571	0.582
CTRB1	KLK12	9606.ENSP00000354294	9606.ENSP00000250351	0	0	0.149	0.780	0.115	0.265	0	0.098	0.435
DAB2	HBEGF	9606.ENSP00000313391	9606.ENSP00000230990	0	0	0	0	0.042	0	0.500	0.067	0.514
DAB2	PDGFRA	9606.ENSP00000313391	9606.ENSP00000257290	0	0	0	0	0.161	0.076	0	0.312	0.421
DAB2	STON1	9606.ENSP00000313391	9606.ENSP00000384615	0	0	0	0	0.044	0	0.500	0	0.501
DAB2	MYH6	9606.ENSP00000313391	9606.ENSP00000386041	0	0	0	0	0	0	0	0.664	0.664
DCDC1	SPTBN1	9606.ENSP00000385936	9606.ENSP00000349259	0	0	0	0	0	0	0	0.400	0.400
DCLK1	MSI1	9606.ENSP00000353846	9606.ENSP00000257552	0	0	0	0	0.066	0.077	0	0.507	0.537
DCLK1	TUBB8	9606.ENSP00000353846	9606.ENSP00000456206	0	0	0	0	0	0.494	0	0.074	0.511
DKK3	IGFBP5	9606.ENSP00000433112	9606.ENSP00000233813	0	0	0	0	0.159	0	0	0.330	0.413
DKK3	WNT5B	9606.ENSP00000433112	9606.ENSP00000380379	0	0	0	0	0.087	0.045	0	0.437	0.466
DKK3	IGF2	9606.ENSP00000433112	9606.ENSP00000391826	0	0	0	0	0.101	0	0	0.366	0.406
DLK2	TTC28	9606.ENSP00000349893	9606.ENSP00000381003	0	0	0	0	0	0.099	0	0.576	0.601
DMP1	TNFRSF11B	9606.ENSP00000340935	9606.ENSP00000297350	0	0	0	0	0.055	0	0	0.400	0.409
DMP1	RUNX2	9606.ENSP00000340935	9606.ENSP00000360493	0	0	0	0	0.054	0	0	0.709	0.713
ECEL1	MYH3	9606.ENSP00000302051	9606.ENSP00000464317	0	0	0	0	0	0	0	0.400	0.400
ELOVL2	FABP4	9606.ENSP00000346693	9606.ENSP00000256104	0	0	0	0	0.067	0	0	0.663	0.672
ELOVL2	ZNF423	9606.ENSP00000346693	9606.ENSP00000455426	0	0	0	0	0.080	0.050	0	0.487	0.512
EPHA4	SEMA3A	9606.ENSP00000281821	9606.ENSP00000265362	0	0	0	0	0.067	0.054	0	0.459	0.481
ERV3-1	TIMP1	9606.ENSP00000391594	9606.ENSP00000218388	0	0	0	0	0.053	0	0	0.669	0.673
ERV3-1	PIGR	9606.ENSP00000391594	9606.ENSP00000348888	0	0	0	0	0	0	0	0.598	0.598
ERV3-1	SFTPA1	9606.ENSP00000391594	9606.ENSP00000397082	0	0	0	0	0	0	0	0.571	0.571
ERVV-1	ZSCAN1	9606.ENSP00000473153	9606.ENSP00000282326	0	0	0.352	0	0.053	0.050	0.098	0.070	0.421
ETV5	NEUROG3	9606.ENSP00000306894	9606.ENSP00000242462	0	0	0	0	0.060	0	0	0.390	0.402
ETV5	SIX2	9606.ENSP00000306894	9606.ENSP00000304502	0	0	0	0	0	0	0	0.405	0.405
EXOC3L4	STXBP6	9606.ENSP00000369409	9606.ENSP00000324302	0	0	0	0	0.055	0	0.540	0.103	0.576
EYS	GABRR2	9606.ENSP00000359655	9606.ENSP00000386029	0	0	0	0	0.049	0	0	0.547	0.550
EYS	RP1L1	9606.ENSP00000359655	9606.ENSP00000371923	0	0	0	0	0.067	0.050	0	0.631	0.644
EYS	PDE6B	9606.ENSP00000359655	9606.ENSP00000420295	0	0	0	0	0	0.042	0	0.726	0.727
EYS	PRCD	9606.ENSP00000359655	9606.ENSP00000467661	0	0	0	0	0	0	0	0.800	0.800
FABP4	PDGFRA	9606.ENSP00000256104	9606.ENSP00000257290	0	0	0	0	0.076	0	0	0.396	0.418
FABP4	RUNX2	9606.ENSP00000256104	9606.ENSP00000360493	0	0	0	0	0.056	0	0	0.601	0.607
FABP4	ZNF423	9606.ENSP00000256104	9606.ENSP00000455426	0	0	0	0	0.060	0.043	0	0.667	0.674
FAM3B	SH2D3A	9606.ENSP00000350673	9606.ENSP00000245908	0	0	0	0	0	0	0	0.447	0.447
FGA	TIMP1	9606.ENSP00000498441	9606.ENSP00000218388	0	0	0	0	0	0	0.400	0.455	0.659
FGA	ITGA2B	9606.ENSP00000498441	9606.ENSP00000262407	0	0	0	0	0	0	0.900	0.314	0.928
FGA	ITIH1	9606.ENSP00000498441	9606.ENSP00000273283	0	0	0	0	0.233	0	0	0.349	0.479
FGA	PLAU	9606.ENSP00000498441	9606.ENSP00000361850	0	0	0	0	0.055	0.045	0	0.593	0.600
FLT3LG	PDGFRA	9606.ENSP00000469613	9606.ENSP00000257290	0	0	0	0	0.052	0	0.650	0.220	0.718
FLT3LG	ITGA2B	9606.ENSP00000469613	9606.ENSP00000262407	0	0	0	0	0.071	0	0	0.475	0.491
FLT3LG	SRPRA	9606.ENSP00000469613	9606.ENSP00000328023	0.046	0	0	0	0.076	0.518	0	0.199	0.614
FLT3LG	MYB	9606.ENSP00000469613	9606.ENSP00000339992	0	0	0	0	0	0.294	0	0.248	0.446
FLT3LG	XCL1	9606.ENSP00000469613	9606.ENSP00000356792	0	0	0	0	0.060	0.153	0	0.419	0.497
FLT3LG	TEK	9606.ENSP00000469613	9606.ENSP00000369375	0	0	0	0	0.052	0	0.650	0.251	0.729
FLT3LG	PTPRJ	9606.ENSP00000469613	9606.ENSP00000400010	0	0	0	0	0.055	0.091	0.750	0.127	0.787
FLT3LG	SIRPA	9606.ENSP00000469613	9606.ENSP00000478763	0	0	0	0	0.083	0	0	0.507	0.529
FLT3LG	PRAMEF7	9606.ENSP00000469613	9606.ENSP00000484237	0.056	0	0	0	0.361	0.303	0	0.120	0.580
FLT3LG	PRAMEF9	9606.ENSP00000469613	9606.ENSP00000485258	0.056	0	0	0	0.361	0.303	0	0.120	0.580
FLT3LG	THPO	9606.ENSP00000469613	9606.ENSP00000494504	0	0	0	0	0.048	0	0	0.968	0.968
FRMD4B	TMTC4	9606.ENSP00000381549	9606.ENSP00000343871	0	0	0	0	0	0	0	0.519	0.519
FSCB	ROPN1	9606.ENSP00000344579	9606.ENSP00000184183	0	0	0	0	0	0	0	0.578	0.578
GAD1	ISL1	9606.ENSP00000350928	9606.ENSP00000230658	0	0	0	0	0.050	0	0	0.467	0.472
GAD1	GRIA4	9606.ENSP00000350928	9606.ENSP00000282499	0	0	0	0	0.143	0	0	0.396	0.461
GAD1	PTPRN	9606.ENSP00000350928	9606.ENSP00000295718	0	0	0	0	0.140	0	0	0.481	0.535
GBF1	KIF26B	9606.ENSP00000359000	9606.ENSP00000385545	0	0	0	0	0	0	0.500	0	0.499
GBP6	GBP7	9606.ENSP00000359485	9606.ENSP00000294671	0	0	0.055	0.971	0.044	0.411	0	0.066	0.436
GIPC3	MYO15A	9606.ENSP00000493901	9606.ENSP00000495481	0	0	0	0	0.042	0	0	0.584	0.584
GLIS1	ITIH1	9606.ENSP00000309653	9606.ENSP00000273283	0	0	0	0	0.044	0.071	0	0.395	0.416
GNB3	WNK1	9606.ENSP00000229264	9606.ENSP00000341292	0	0	0	0	0.042	0	0	0.574	0.574
GNB3	PAK1	9606.ENSP00000229264	9606.ENSP00000278568	0	0	0	0	0.055	0.173	0.500	0.124	0.611
GNB3	PDE6B	9606.ENSP00000229264	9606.ENSP00000420295	0	0	0	0	0	0	0.500	0.499	0.739
GNB3	MAPK11	9606.ENSP00000229264	9606.ENSP00000333685	0	0	0	0	0.146	0.162	0.650	0.116	0.748
GNB3	PTGER3	9606.ENSP00000229264	9606.ENSP00000349003	0	0	0	0	0	0.129	0.650	0.366	0.790
GPR153	GPR85	9606.ENSP00000367125	9606.ENSP00000297146	0	0	0	0	0	0	0	0.423	0.423
GPX3	GSTM2	9606.ENSP00000373477	9606.ENSP00000241337	0	0	0	0	0.101	0	0.650	0.480	0.822
GPX3	NDST1	9606.ENSP00000373477	9606.ENSP00000261797	0	0	0	0	0.047	0	0	0.427	0.430
GPX3	GPX8	9606.ENSP00000373477	9606.ENSP00000423822	0	0	0.192	0.695	0.043	0	0.900	0.196	0.929
GPX8	GSTM2	9606.ENSP00000423822	9606.ENSP00000241337	0	0	0	0	0.064	0	0.650	0.443	0.801
GRIA4	SYNDIG1	9606.ENSP00000282499	9606.ENSP00000366058	0	0	0	0	0.145	0	0	0.541	0.590
GRIA4	NPTX1	9606.ENSP00000282499	9606.ENSP00000307549	0	0	0	0	0.112	0.072	0	0.631	0.670
